Image Name,Angle,Angle2
2024-06-22 19-49-32-443107.png,0.0,0
2024-06-22 19-49-32-550578.png,0.0,0
2024-06-22 19-49-32-634905.png,0.0,0
2024-06-22 19-49-32-718367.png,0.0,0
2024-06-22 19-49-32-785890.png,0.0,0
2024-06-22 19-49-32-868361.png,0.0,0
2024-06-22 19-49-32-966319.png,0.0,0
2024-06-22 19-49-33-066799.png,0.0,0
2024-06-22 19-49-33-166329.png,0.0,0
2024-06-22 19-49-33-266349.png,0.0,0
2024-06-22 19-49-33-350663.png,0.0,0
2024-06-22 19-49-33-465936.png,0.0,0
2024-06-22 19-49-33-567341.png,0.0,0
2024-06-22 19-49-33-683436.png,0.03,0
2024-06-22 19-49-33-799976.png,0.03,0
2024-06-22 19-49-33-899180.png,0.03,0
2024-06-22 19-49-33-999676.png,0.03,0
2024-06-22 19-49-34-099906.png,0.03,0
2024-06-22 19-49-34-199695.png,0.03,0
2024-06-22 19-49-34-300940.png,0.03,0
2024-06-22 19-49-34-383997.png,0.03,0
2024-06-22 19-49-34-499609.png,0.03,0
2024-06-22 19-49-34-600620.png,0.03,0
2024-06-22 19-49-34-713332.png,0.03,0
2024-06-22 19-49-34-816099.png,0.03,0
2024-06-22 19-49-34-933313.png,0.03,0
2024-06-22 19-49-35-033057.png,0.03,0
2024-06-22 19-49-35-117338.png,0.03,0
2024-06-22 19-49-35-217354.png,0.03,0
2024-06-22 19-49-35-317270.png,0.03,0
2024-06-22 19-49-35-432884.png,0.03,0
2024-06-22 19-49-35-548305.png,0.03,0
2024-06-22 19-49-35-665182.png,0.03,0
2024-06-22 19-49-35-767310.png,0.03,0
2024-06-22 19-49-35-851833.png,0.03,0
2024-06-22 19-49-35-950600.png,0.03,0
2024-06-22 19-49-36-050604.png,0.0,0
2024-06-22 19-49-36-133968.png,-0.03,0
2024-06-22 19-49-36-238922.png,-0.03,0
2024-06-22 19-49-36-349457.png,-0.03,0
2024-06-22 19-49-36-465273.png,-0.03,0
2024-06-22 19-49-36-567293.png,-0.03,0
2024-06-22 19-49-36-683304.png,-0.03,0
2024-06-22 19-49-36-783907.png,-0.03,0
2024-06-22 19-49-36-866330.png,-0.03,0
2024-06-22 19-49-36-967292.png,-0.03,0
2024-06-22 19-49-37-067303.png,-0.03,0
2024-06-22 19-49-37-179376.png,0.0,0
2024-06-22 19-49-37-299550.png,0.03,0
2024-06-22 19-49-37-399609.png,0.03,0
2024-06-22 19-49-37-514915.png,0.03,0
2024-06-22 19-49-37-600601.png,0.03,0
2024-06-22 19-49-37-700598.png,0.03,0
2024-06-22 19-49-37-784946.png,0.03,0
2024-06-22 19-49-37-895998.png,0.03,0
2024-06-22 19-49-38-017254.png,0.03,0
2024-06-22 19-49-38-116236.png,0.03,0
2024-06-22 19-49-38-217239.png,0.03,0
2024-06-22 19-49-38-300630.png,0.03,0
2024-06-22 19-49-38-399675.png,0.03,0
2024-06-22 19-49-38-500559.png,0.03,0
2024-06-22 19-49-38-583930.png,0.03,0
2024-06-22 19-49-38-699061.png,0.0,0
2024-06-22 19-49-38-803554.png,0.0,0
2024-06-22 19-49-38-916555.png,0.0,0
2024-06-22 19-49-39-017199.png,0.0,0
2024-06-22 19-49-39-116295.png,0.0,0
2024-06-22 19-49-39-217311.png,0.0,0
2024-06-22 19-49-39-316231.png,0.0,0
2024-06-22 19-49-39-400584.png,0.0,0
2024-06-22 19-49-39-491631.png,-0.03,0
2024-06-22 19-49-39-583963.png,-0.06,0
2024-06-22 19-49-39-682867.png,-0.06,0
2024-06-22 19-49-39-799830.png,-0.06,0
2024-06-22 19-49-39-900572.png,-0.06,0
2024-06-22 19-49-40-014212.png,-0.06,0
2024-06-22 19-49-40-100595.png,-0.06,0
2024-06-22 19-49-40-199609.png,-0.06,0
2024-06-22 19-49-40-299537.png,-0.06,0
2024-06-22 19-49-40-400532.png,-0.06,0
2024-06-22 19-49-40-507744.png,-0.03,0
2024-06-22 19-49-40-616282.png,-0.03,0
2024-06-22 19-49-40-716254.png,-0.03,0
2024-06-22 19-49-40-816244.png,-0.03,0
2024-06-22 19-49-40-900651.png,-0.03,0
2024-06-22 19-49-40-999601.png,-0.03,0
2024-06-22 19-49-41-099506.png,-0.03,0
2024-06-22 19-49-41-215811.png,-0.03,0
2024-06-22 19-49-41-332997.png,0.0,0
2024-06-22 19-49-41-449017.png,0.0,0
2024-06-22 19-49-41-549559.png,0.0,0
2024-06-22 19-49-41-633889.png,0.0,0
2024-06-22 19-49-41-732848.png,0.0,0
2024-06-22 19-49-41-817202.png,0.0,0
2024-06-22 19-49-41-917192.png,0.0,0
2024-06-22 19-49-42-032914.png,0.0,0
2024-06-22 19-49-42-132796.png,0.0,0
2024-06-22 19-49-42-254399.png,0.0,0
2024-06-22 19-49-42-365944.png,0.0,0
2024-06-22 19-49-42-481114.png,0.0,0
2024-06-22 19-49-42-582890.png,0.0,0
2024-06-22 19-49-42-682984.png,0.0,0
2024-06-22 19-49-42-781888.png,0.0,0
2024-06-22 19-49-42-867253.png,0.0,0
2024-06-22 19-49-42-966160.png,0.0,0
2024-06-22 19-49-43-050522.png,0.0,0
2024-06-22 19-49-43-149538.png,0.0,0
2024-06-22 19-49-43-265577.png,0.0,0
2024-06-22 19-49-43-366165.png,0.0,0
2024-06-22 19-49-43-481693.png,0.0,0
2024-06-22 19-49-43-583881.png,0.0,0
2024-06-22 19-49-43-704364.png,0.0,0
2024-06-22 19-49-43-799461.png,0.0,0
2024-06-22 19-49-43-883857.png,0.0,0
2024-06-22 19-49-43-982810.png,0.0,0
2024-06-22 19-49-44-104367.png,0.0,0
2024-06-22 19-49-44-216583.png,0.0,0
2024-06-22 19-49-44-334391.png,0.0,0
2024-06-22 19-49-44-434061.png,0.0,0
2024-06-22 19-49-44-531822.png,0.0,0
2024-06-22 19-49-44-631775.png,0.0,0
2024-06-22 19-49-44-731822.png,0.0,0
2024-06-22 19-49-44-833798.png,0.0,0
2024-06-22 19-49-44-933833.png,0.0,0
2024-06-22 19-49-45-032823.png,0.0,0
2024-06-22 19-49-45-132419.png,0.0,0
2024-06-22 19-49-45-248247.png,0.0,0
2024-06-22 19-49-45-348481.png,0.0,0
2024-06-22 19-49-45-450512.png,0.0,0
2024-06-22 19-49-45-550428.png,0.0,0
2024-06-22 19-49-45-633820.png,0.0,0
2024-06-22 19-49-45-731474.png,0.0,0
2024-06-22 19-49-45-817151.png,0.0,0
2024-06-22 19-49-45-931497.png,0.0,0
2024-06-22 19-49-46-048830.png,0.0,0
2024-06-22 19-49-46-150423.png,0.0,0
2024-06-22 19-49-46-250569.png,0.0,0
2024-06-22 19-49-46-348540.png,0.0,0
2024-06-22 19-49-46-449551.png,0.0,0
2024-06-22 19-49-46-548480.png,0.0,0
2024-06-22 19-49-46-633823.png,0.0,0
2024-06-22 19-49-46-749603.png,0.0,0
2024-06-22 19-49-46-850417.png,0.0,0
2024-06-22 19-49-46-965621.png,0.0,0
2024-06-22 19-49-47-067107.png,0.0,0
2024-06-22 19-49-47-181999.png,0.0,0
2024-06-22 19-49-47-282753.png,0.0,0
2024-06-22 19-49-47-367194.png,0.0,0
2024-06-22 19-49-47-467355.png,0.0,0
2024-06-22 19-49-47-567074.png,0.0,0
2024-06-22 19-49-47-680690.png,0.0,0
2024-06-22 19-49-47-799720.png,0.0,0
2024-06-22 19-49-47-900417.png,0.0,0
2024-06-22 19-49-48-015739.png,0.0,0
2024-06-22 19-49-48-100518.png,0.0,0
2024-06-22 19-49-48-200434.png,0.0,0
2024-06-22 19-49-48-300417.png,0.0,0
2024-06-22 19-49-48-400249.png,0.0,0
2024-06-22 19-49-48-514862.png,0.0,0
2024-06-22 19-49-48-616121.png,0.0,0
2024-06-22 19-49-48-716137.png,0.0,0
2024-06-22 19-49-48-816140.png,0.0,0
2024-06-22 19-49-48-900457.png,0.0,0
2024-06-22 19-49-48-999454.png,0.0,0
2024-06-22 19-49-49-083772.png,0.0,0
2024-06-22 19-49-49-199703.png,0.0,0
2024-06-22 19-49-49-316252.png,0.0,0
2024-06-22 19-49-49-416246.png,0.0,0
2024-06-22 19-49-49-514489.png,0.0,0
2024-06-22 19-49-49-600612.png,0.0,0
2024-06-22 19-49-49-699456.png,0.0,0
2024-06-22 19-49-49-816302.png,0.0,0
2024-06-22 19-49-49-931245.png,0.0,0
2024-06-22 19-49-50-048965.png,0.0,0
2024-06-22 19-49-50-133905.png,0.0,0
2024-06-22 19-49-50-231973.png,0.0,0
2024-06-22 19-49-50-332803.png,0.0,0
2024-06-22 19-49-50-426438.png,0.0,0
2024-06-22 19-49-50-533013.png,0.0,0
2024-06-22 19-49-50-632393.png,0.0,0
2024-06-22 19-49-50-749041.png,0.0,0
2024-06-22 19-49-50-849461.png,0.0,0
2024-06-22 19-49-50-949896.png,0.0,0
2024-06-22 19-49-51-049399.png,0.0,0
2024-06-22 19-49-51-149403.png,0.0,0
2024-06-22 19-49-51-249509.png,0.0,0
2024-06-22 19-49-51-349468.png,0.0,0
2024-06-22 19-49-51-465194.png,0.0,0
2024-06-22 19-49-51-550533.png,0.0,0
2024-06-22 19-49-51-648384.png,0.0,0
2024-06-22 19-49-51-765944.png,0.0,0
2024-06-22 19-49-51-850520.png,0.0,0
2024-06-22 19-49-51-966177.png,0.0,0
2024-06-22 19-49-52-050540.png,0.0,0
2024-06-22 19-49-52-166198.png,0.0,0
2024-06-22 19-49-52-281318.png,0.0,0
2024-06-22 19-49-52-382682.png,0.0,0
2024-06-22 19-49-52-476246.png,0.0,0
2024-06-22 19-49-52-567215.png,0.0,0
2024-06-22 19-49-52-666081.png,0.0,0
2024-06-22 19-49-52-766530.png,0.0,0
2024-06-22 19-49-52-867161.png,0.0,0
2024-06-22 19-49-52-982294.png,0.0,0
2024-06-22 19-49-53-082770.png,0.0,0
2024-06-22 19-49-53-182801.png,0.0,0
2024-06-22 19-49-53-283809.png,0.0,0
2024-06-22 19-49-53-367181.png,0.0,0
2024-06-22 19-49-53-467157.png,0.0,0
2024-06-22 19-49-53-550515.png,0.0,0
2024-06-22 19-49-53-666365.png,0.0,0
2024-06-22 19-49-53-781368.png,0.0,0
2024-06-22 19-49-53-882813.png,0.0,0
2024-06-22 19-49-53-982404.png,0.0,0
2024-06-22 19-49-54-067703.png,0.0,0
2024-06-22 19-49-54-165589.png,0.0,0
2024-06-22 19-49-54-266481.png,0.0,0
2024-06-22 19-49-54-350482.png,0.0,0
2024-06-22 19-49-54-465501.png,0.0,0
2024-06-22 19-49-54-582736.png,0.0,0
2024-06-22 19-49-54-699309.png,0.0,0
2024-06-22 19-49-54-798341.png,0.0,0
2024-06-22 19-49-54-883793.png,0.0,0
2024-06-22 19-49-54-981499.png,0.0,0
2024-06-22 19-49-55-082772.png,0.0,0
2024-06-22 19-49-55-182774.png,0.0,0
2024-06-22 19-49-55-299376.png,0.0,0
2024-06-22 19-49-55-383812.png,0.0,0
2024-06-22 19-49-55-483791.png,0.0,0
2024-06-22 19-49-55-567690.png,0.0,0
2024-06-22 19-49-55-681662.png,0.0,0
2024-06-22 19-49-55-799427.png,0.0,0
2024-06-22 19-49-55-900295.png,0.0,0
2024-06-22 19-49-55-999625.png,0.0,0
2024-06-22 19-49-56-082758.png,0.0,0
2024-06-22 19-49-56-182653.png,0.0,0
2024-06-22 19-49-56-299488.png,0.0,0
2024-06-22 19-49-56-400424.png,0.0,0
2024-06-22 19-49-56-515762.png,0.0,0
2024-06-22 19-49-56-615523.png,0.0,0
2024-06-22 19-49-56-733782.png,0.0,0
2024-06-22 19-49-56-833751.png,0.0,0
2024-06-22 19-49-56-932770.png,0.0,0
2024-06-22 19-49-57-032739.png,0.0,0
2024-06-22 19-49-57-117645.png,0.0,0
2024-06-22 19-49-57-216750.png,0.0,0
2024-06-22 19-49-57-316593.png,0.0,0
2024-06-22 19-49-57-400462.png,0.0,0
2024-06-22 19-49-57-515629.png,0.0,0
2024-06-22 19-49-57-616637.png,0.0,0
2024-06-22 19-49-57-735884.png,0.0,0
2024-06-22 19-49-57-849658.png,0.0,0
2024-06-22 19-49-57-966848.png,0.0,0
2024-06-22 19-49-58-050435.png,0.0,0
2024-06-22 19-49-58-149486.png,0.0,0
2024-06-22 19-49-58-249320.png,0.0,0
2024-06-22 19-49-58-333769.png,0.0,0
2024-06-22 19-49-58-432651.png,0.0,0
2024-06-22 19-49-58-548736.png,0.0,0
2024-06-22 19-49-58-649378.png,0.0,0
2024-06-22 19-49-58-755911.png,0.0,0
2024-06-22 19-49-58-867294.png,0.0,0
2024-06-22 19-49-58-986016.png,0.0,0
2024-06-22 19-49-59-082722.png,0.0,0
2024-06-22 19-49-59-182718.png,0.0,0
2024-06-22 19-49-59-282992.png,0.0,0
2024-06-22 19-49-59-366954.png,0.0,0
2024-06-22 19-49-59-466360.png,0.0,0
2024-06-22 19-49-59-565850.png,0.0,0
2024-06-22 19-49-59-650432.png,0.0,0
2024-06-22 19-49-59-766185.png,0.0,0
2024-06-22 19-49-59-865042.png,0.0,0
2024-06-22 19-49-59-982071.png,0.0,0
2024-06-22 19-50-00-096145.png,0.0,0
2024-06-22 19-50-00-215971.png,0.0,0
2024-06-22 19-50-00-300389.png,0.0,0
2024-06-22 19-50-00-399375.png,0.0,0
2024-06-22 19-50-00-500453.png,0.0,0
2024-06-22 19-50-00-582668.png,0.0,0
2024-06-22 19-50-00-682143.png,0.0,0
2024-06-22 19-50-00-797970.png,0.0,0
2024-06-22 19-50-00-899425.png,0.0,0
2024-06-22 19-50-01-016320.png,0.0,0
2024-06-22 19-50-01-116018.png,0.0,0
2024-06-22 19-50-01-231208.png,0.0,0
2024-06-22 19-50-01-316958.png,0.0,0
2024-06-22 19-50-01-416020.png,0.0,0
2024-06-22 19-50-01-517478.png,0.0,0
2024-06-22 19-50-01-616405.png,0.0,0
2024-06-22 19-50-01-731015.png,0.0,0
2024-06-22 19-50-01-832714.png,0.0,0
2024-06-22 19-50-01-933679.png,0.0,0
2024-06-22 19-50-02-033723.png,0.03,0
2024-06-22 19-50-02-117111.png,0.03,0
2024-06-22 19-50-02-215905.png,0.03,0
2024-06-22 19-50-02-316058.png,0.03,0
2024-06-22 19-50-02-432135.png,0.03,0
